Date,CPIH,CPI 12-,OOH
Nov-13,1.9,2.1,1.4
Dec-13,1.9,2,1.3
Jan-14,1.8,1.9,1.3
Feb-14,1.6,1.7,1.3
Mar-14,1.5,1.6,1.2
Apr-14,1.7,1.8,1.3
May-14,1.5,1.5,1.3
Jun-14,1.8,1.9,1.4
Jul-14,1.6,1.6,1.5
Aug-14,1.5,1.5,1.6
Sep-14,1.3,1.2,1.7
Oct-14,1.3,1.3,1.7
Nov-14,1.1,1,1.6
Dec-14,0.7,0.5,1.7
Jan-15,0.5,0.3,1.9
Feb-15,0.4,0,1.9
Mar-15,0.3,0,2
Apr-15,0.3,-0.1,1.9
May-15,0.4,0.1,1.8
Jun-15,0.3,0,1.9
Jul-15,0.5,0.1,1.8
Aug-15,0.4,0,1.8
Sep-15,0.2,-0.1,1.8
Oct-15,0.2,-0.1,1.8
Nov-15,0.4,0.1,1.9
Dec-15,0.5,0.2,1.9
Jan-16,0.6,0.3,2
Feb-16,0.6,0.3,2
Mar-16,0.8,0.5,2.1
Apr-16,0.7,0.3,2.2
May-16,0.7,0.3,2.3
Jun-16,0.8,0.5,2.3
Jul-16,0.9,0.6,2.4
Aug-16,1,0.6,2.4
Sep-16,1.3,1,2.4
Oct-16,1.3,0.9,2.7
Nov-16,1.5,1.2,2.6
Dec-16,1.8,1.6,2.6
Jan-17,1.9,1.8,2.5
Feb-17,2.3,2.3,2.5
Mar-17,2.3,2.3,2.4
Apr-17,2.6,2.7,2.2
May-17,2.7,2.9,2.1
Jun-17,2.6,2.6,2
Jul-17,2.6,2.6,2
Aug-17,2.7,2.9,1.9
Sep-17,2.8,3,1.9
Oct-17,2.8,3,1.6
Nov-17,2.8,3.1,1.5
Dec-17,2.7,3,1.3
Jan-18,2.7,3,1.2
Feb-18,2.5,2.7,1.2
Mar-18,2.3,2.5,1.2
Apr-18,2.2,2.4,1.2
May-18,2.3,2.4,1.1
Jun-18,2.3,2.4,1.1
Jul-18,2.3,2.5,1.1
Aug-18,2.4,2.7,1
Sep-18,2.2,2.4,1
Oct-18,2.2,2.4,1.1
Nov-18,2.2,2.3,1.1
Dec-18,2,2.1,1.2
Jan-19,1.8,1.8,1.1
Feb-19,1.8,1.9,1.1
Mar-19,1.8,1.9,1.1
Apr-19,2,2.1,1.2
May-19,1.9,2,1.2
Jun-19,1.9,2,1.2
Jul-19,2,2.1,1.2
Aug-19,1.7,1.7,1.1
Sep-19,1.7,1.7,1.1
Oct-19,1.5,1.5,1.2
Nov-19,1.5,1.5,1.2
Dec-19,1.4,1.3,1.2
Jan-20,1.8,1.8,1.3
Feb-20,1.7,1.7,1.2
Mar-20,1.5,1.5,1.3
Apr-20,0.9,0.8,1.1
May-20,0.7,0.5,1.1
Jun-20,0.8,0.6,1.2
Jul-20,1.1,1,1.1
Aug-20,0.5,0.2,1.1
Sep-20,0.7,0.5,1.2
Oct-20,0.9,0.7,1.2
Nov-20,0.6,0.3,1.2
Dec-20,0.8,0.6,1.3
Jan-21,0.9,0.7,1.3
Feb-21,0.7,0.4,1.4
Mar-21,1,0.7,1.3
Apr-21,1.6,1.5,1.4
May-21,2.1,2.1,1.5
Jun-21,2.4,2.5,1.6
Jul-21,2.1,2,1.6
Aug-21,3,3.2,1.7
Sep-21,2.9,3.1,1.8
Oct-21,3.8,4.2,1.9
Nov-21,4.6,5.1,2.1
Dec-21,4.8,5.4,2.2
Jan-22,4.9,5.5,2.4
Feb-22,5.5,6.2,2.5
Mar-22,6.2,7,2.7
Apr-22,7.8,9,2.9
May-22,7.9,9.1,3
Jun-22,8.2,9.4,3.2
Jul-22,8.8,10.1,3.4
Aug-22,8.6,9.9,3.5
Sep-22,8.8,10.1,3.5
Oct-22,9.6,11.1,3.6
Nov-22,9.3,10.7,3.7
Dec-22,9.2,10.5,3.8
Jan-23,8.8,10.1,3.8
Feb-23,9.2,10.4,3.9
Mar-23,8.9,10.1,4
Apr-23,7.8,8.7,4
May-23,7.9,8.7,4.2
Jun-23,7.3,7.9,4.4
Jul-23,6.4,6.8,4.5
Aug-23,6.3,6.7,4.8
Sep-23,6.3,6.7,5
Oct-23,4.7,4.6,5.4
Nov-23,4.2,3.9,5.3